"side";"carryingcapacity";"regenrate";"agentdensity";"initialsuglevel";"metabolrangemax";"visionrangemax";"birthrate";"inboundrate";"outboundrate";"threshold";"period_1";"period_2";"period_3";"period_4";"period_5";"period_6";"period_7";"period_8";"period_9";"period_10";"period_11";"period_12";"period_13";"period_14";"period_15";"period_16";"period_17";"period_18";"period_19";"period_20";"period_21";"period_22";"period_23";"period_24";"period_25";"period_26";"period_27";"period_28";"period_29";"period_30";"inst_period_1";"inst_period_2";"inst_period_3";"inst_period_4";"inst_period_5";"inst_period_6";"inst_period_7";"inst_period_8";"inst_period_9";"inst_period_10";"inst_period_11";"inst_period_12";"inst_period_13";"inst_period_14";"inst_period_15";"inst_period_16";"inst_period_17";"inst_period_18";"inst_period_19";"inst_period_20";"inst_period_21";"inst_period_22";"inst_period_23";"inst_period_24";"inst_period_25";"inst_period_26";"inst_period_27";"inst_period_28";"inst_period_29";"inst_period_30"
20;2;3;0.18;4;5;3;0.1;0.4;0.29;4;0.374586573962023;0.339105046773966;0.268886367124172;0.429385666811787;0.373699799793554;0.386234235592446;0.217041840220632;0.291997083593027;0.173473783942466;0.224255452003163;0.281719035625453;0.347276233600589;0.186597600812643;0.221731983952651;0.259026421068606;0.298686429179748;0.340944450969358;0.0527272919324118;0.0563263244574972;0.0598678992448252;0.063353381347635;0.0667840929185342;0.0701613148817013;0.0734862885274776;0.0767602170335178;0.0799842669164166;0.0831595694174896;0.0862872218261668;0.0893682887442522;0.0924038032941081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;6;2;0.25;4;3;2;0.07;0.37;0.2;5;0.118287761938648;0.178820286062048;0.221270298089986;0.25258836865912;0.276597386260289;0.29547333734325;0.310326151144525;0.322478941685817;0.332583309024928;0.341044124631352;0.348330281546473;0.354675122160182;0.360282825581856;0.36501996643742;0.369457113480166;0.373437240173527;0.377027306567197;0.380191742067706;0.383159356611705;0.385874678712414;0.388289079683718;0.390511980461767;0.392639939025487;0.394612917477901;0.396311390112302;0.398025714618342;0.399627347696168;0.401127188546169;0.402414567340123;0.40374110240444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;4;5;0.16;4;1;3;0.02;0.19;0.39;3;0.0435067621703011;0.0679021194088007;0.0835110481646166;0.0943560470290064;0.102329325615367;0.10843815597441;0.113268046972301;0.117182575927751;0.120419438232627;0.123140587675129;0.12546017926021;0.127460991563714;0.129204513694131;0.13073737600444;0.132095582641136;0.133307375293362;0.13439521817525;0.135377203534933;0.136268065892344;0.137079926448751;0.137822847861686;0.138505253449682;0.139134247965053;0.13971586588374;0.140255265626954;0.140756882969898;0.141224553304641;0.14166160989296;0.142070963435779;0.142455166976758;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;6;5;0.26;4;5;1;0.02;0.23;0.08;3;0.160097191862225;0.267477789676232;0.290001432038075;0.321712432530256;0.322651500430825;0.333839939107919;0.355747474917436;0.336063325274328;0.351308807370425;0.362728705890485;0.373311660069632;0.383413773176447;0.391736232713018;0.380623396410336;0.388000909196312;0.393260736624828;0.398434007393974;0.403714917748757;0.389694067503824;0.393008383609931;0.396946351719085;0.400061559411871;0.402648670934596;0.40615832924932;0.408371512045739;0.410726218975158;0.413375400089598;0.415430320907276;0.417109731704221;0.41961035733407;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;2;3;0.19;3;4;3;0.12;0.12;0.09;4;0.324908630994696;0.291200625302741;0.453029401281693;0.462195132004178;0.375316945741525;0.470354878793546;0.518753447143883;0.478049850561684;0.534745782493922;0.252447024788959;0.257470648384954;0.26224585580801;0.266790628588639;0.271121253693884;0.275252518550322;0.27919787973941;0.282969609420488;0.286578922838197;0.290036089705115;0.294840480333598;0.300175583090233;0.30529916520823;0.306200578361761;0.307045829127156;0.307840007713703;0.308587607242947;0.309292608803335;0.309958552368449;0.310588596246061;0.311185567165189;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;6;2;0.21;2;3;2;0.18;0.11;0.24;4;0.167204977204879;0.227394318676164;0.252698411021205;0.27387654311685;0.291094030384789;0.304202082497264;0.315270503677913;0.324411603036864;0.33203150578188;0.33845452294376;0.343908000440027;0.340708314459165;0.344739918964127;0.348284302531098;0.351412579547185;0.354290482941671;0.356886627463228;0.359150362366545;0.361282513167293;0.363144512091295;0.364918605087232;0.366472362060572;0.367969472880669;0.369284984447355;0.370567290062341;0.371696020871593;0.372805590035037;0.373784961859576;0.374756260432717;0.375612489337045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;4;5;0.2;3;1;3;0.18;0.36;0.05;3;0.0762234104796695;0.0939022309715679;0.105979900377322;0.114338846363881;0.120319675309768;0.124828754537572;0.128337559086977;0.131134185132977;0.133457124646466;0.135402739943791;0.137049135549297;0.138462255384714;0.139686500186414;0.140756052548873;0.141698489971896;0.142535202537056;0.14328475366792;0.143959404141088;0.144569271939765;0.145123260628462;0.145628713666567;0.146091741774809;0.146517471189852;0.146910234248098;0.14727371734619;0.147611076999863;0.147925031747433;0.148217935566685;0.148491837002802;0.148748527149938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;5;5;0.24;2;5;2;0.2;0.26;0.38;3;0.335351131279071;0.355759903978434;0.327515117475258;0.308397944692667;0.319496912666498;0.341749586890129;0.365523773657099;0.380141145281623;0.395397239667283;0.405839713678931;0.390639960729653;0.396734385322362;0.40226808934965;0.40799131077324;0.411152525977443;0.417085570934373;0.421001132842959;0.425884681761071;0.426981880588898;0.431160180346139;0.432449790323697;0.434549717620242;0.438261125994552;0.439952160762397;0.442096123503891;0.443065020100517;0.444976616694065;0.425133455029577;0.426822297258823;0.427863983857808;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;3;2;0.31;1;4;2;0.05;0.28;0.26;2;0.377404824356207;0.399549814100846;0.411308929142621;0.396684719082925;0.391191645719769;0.393250956994059;0.383589642907187;0.397395495770812;0.409887180091812;0.42061032165671;0.433004017353495;0.423184754400064;0.43271760555815;0.44068444330515;0.44795368624733;0.453520218689793;0.460628039612949;0.460562467276667;0.46375459641388;0.469507573440291;0.473725699259468;0.477700514323888;0.480668717736978;0.48499589097357;0.487223641302434;0.48956464691314;0.493179687613057;0.492021236170159;0.494054972858967;0.496393137578139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;5;2;0.38;1;2;3;0.08;0.35;0.12;2;0.149616356417107;0.176498926281219;0.184458317717291;0.196605953142624;0.205402497672651;0.211980925664119;0.217122473917557;0.221208209887441;0.224536935341129;0.227281449771253;0.22958807340576;0.231553682565384;0.233248515128081;0.234722555028037;0.236019906171186;0.237167456373421;0.238189390383213;0.239103603110636;0.239928002542519;0.240674416465659;0.241354429880726;0.241976098492716;0.242546187472658;0.243071334086034;0.243558044314847;0.24400945958851;0.244428913997162;0.24481959287847;0.245184117035623;0.245525165001228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
