λ,gini,gini_lowCI,gini_highCI,number_components,number_components_lowCI,number_components_highCI,size_largest_component,size_largest_component_lowCI,size_largest_component_highCI,time_to_stage2,time_to_stage2_lowCI,time_to_stage2_highCI,time_to_stage3,time_to_stage3_lowCI,time_to_stage3_highCI,average_proto_size_pre,average_proto_size_pre_lowCI,average_proto_size_pre_highCI,average_proto_size_post,average_proto_size_post_lowCI,average_proto_size_post_highCI,num_agents_in_proto,num_agents_in_proto_lowCI,num_agents_in_proto_highCI,num_living_agents_pre,num_living_agents_pre_lowCI,num_living_agents_pre_highCI,num_living_agents_post,num_living_agents_post_lowCI,num_living_agents_post_highCI,num_protos_pre,num_protos_pre_lowCI,num_protos_pre_highCI,num_protos_post,num_protos_post_lowCI,num_protos_post_highCI,avg_lifespan_isos,avg_lifespan_isos_lowCI,avg_lifespan_isos_highCI,avg_lifespan_nonisos,avg_lifespan_nonisos_lowCI,avg_lifespan_nonisos_highCI
0.1,0.17863746566698627,0.17086477183961493,0.18562959701691933,432.95,430.25,435.45,3.3,2.8999999999999995,3.6499999999999995,1.1,0.9000000000000001,1.2000000000000002,12.7,11.499999999999998,13.899999999999999,2.0968012788724866,2.06127926207994,2.1294522268054874,2.2341351601297257,2.16988430757045,2.293635681649269,40.3,35.79875,45.051249999999996,454.25,452.0,456.5,363.5,344.64875,383.25,19.2,17.15,21.4,15.0,13.14875,17.00125,26.66711617736101,25.208174692624734,28.12788980004641,30.001763521810812,28.455314072933806,31.560281559272276
0.34500000000000003,0.16219057184029212,0.15812655249025576,0.167166752804336,380.8,375.75,385.75125,5.75,5.05,6.4,1.0,1.0,1.0,13.65,12.450000000000001,14.55,2.279734040398073,2.2427609038286387,2.3152669815611278,2.377461798574101,2.3253287690486184,2.425049931068593,122.25,113.79750000000001,130.45125000000002,451.65,448.89874999999995,454.4,382.3,369.40000000000003,392.25,53.5,50.2975,56.45,44.8,41.54875,47.65124999999999,27.04379599124414,25.9476151221186,28.027608870420156,31.212009422264412,30.07573639120485,32.21008857762531
0.5900000000000001,0.14535386973101122,0.14140670543584227,0.14946701490660297,332.85,325.50000000000006,340.55125000000004,9.75,8.55,10.9,1.0,1.0,1.0,15.35,13.94875,16.299999999999997,2.4682677535150925,2.4236829682664145,2.511028115743459,2.5457911508314583,2.489745518332621,2.6024623482508202,189.1,180.7475,197.80124999999998,454.35,452.1,456.30000000000007,410.45,403.79875,417.4,76.6,73.29999999999998,79.64999999999999,69.25,66.2,72.1,28.215750581250614,27.094553355445342,29.09755071051224,33.12614540280912,31.85832963143652,34.15699547512175
0.8350000000000001,0.13881950277577454,0.1353536964762921,0.1427413890967648,283.5,277.69874999999996,290.0,24.15,18.349999999999998,29.101249999999997,1.0,1.0,1.0,15.25,14.248750000000001,16.25,2.652717631552073,2.6070860237150817,2.6991712748609276,2.7618413283450747,2.697236189281468,2.816562035619454,242.05,235.59750000000003,248.25125000000003,456.8,453.84875,459.8,413.15,403.59874999999994,423.30125,91.3,89.0475,93.60125,81.9,78.25000000000001,85.40125,27.418290679391465,26.540305319065244,28.41950254825958,33.02385162965229,31.878907158143086,34.00526264891978
1.08,0.12501388255771032,0.12037686056491298,0.12986040197170462,234.15,226.2975,241.20000000000002,53.6,37.45,66.2575,1.0,1.0,1.0,16.55,15.150000000000002,17.950000000000003,2.7718593683549217,2.720258391482792,2.819843969333479,2.8466814439070154,2.7871945158608376,2.900244608617377,280.6,273.69875,287.8525,452.95,450.6975,455.29999999999995,423.05,413.8,433.6,101.3,98.75,104.0,94.2,90.49875,97.9,27.157022173403625,26.043765220391933,28.275385594570533,34.39138867095894,32.993153886137236,35.7515361870034
1.3250000000000002,0.11726545884846136,0.11403014825015176,0.12017864734791288,186.4,178.94875000000002,193.3,125.15,102.2475,147.60250000000002,1.0,1.0,1.0,17.2,16.0,18.299999999999997,2.947667882472314,2.9041105600433736,2.990494107981939,3.0193769409618616,2.9797153146499076,3.0619273729889454,311.7,305.69874999999996,318.00124999999997,450.05,447.44750000000005,452.60125000000005,427.3,420.70000000000005,434.0525,105.8,103.44999999999999,108.00125,99.5,97.09875,102.05,26.11391321890096,25.08127520773978,27.035431764804652,35.09712604078192,33.75306541898758,36.240595430031824
1.5700000000000003,0.11053461131194668,0.10751033325313246,0.11358164257640514,144.95,140.04999999999998,150.09999999999997,235.6,221.79749999999999,249.90249999999997,1.0,1.0,1.0,16.9,15.799999999999997,17.849999999999998,3.107143259358831,3.0536940514542423,3.157901380646604,3.173693373685235,3.116940941988343,3.2324945272969163,344.15,339.0487499999999,349.4025,454.75,452.35,457.3,435.9,430.84874999999994,441.84999999999997,110.9,108.74875000000002,113.30000000000001,105.6,103.29999999999998,107.89999999999999,24.995551448778677,24.070002765898167,25.98014981124091,34.82802118781946,33.82648085828547,35.79438492806453
1.8150000000000004,0.10700130866080704,0.10305493218113133,0.11119006089681269,113.75,109.49875,117.3,299.6,291.15000000000003,308.30250000000007,1.0,1.0,1.0,17.15,15.999999999999996,18.249999999999996,3.2687230725196423,3.198092350685148,3.340547927500455,3.338381650920888,3.264643747719974,3.410637440332764,361.95,358.04999999999995,366.09999999999997,452.55,449.90000000000003,455.30125000000004,434.4,427.94999999999993,441.74999999999994,110.95,108.89750000000001,112.85125000000001,105.65,103.20000000000002,108.30000000000001,23.46540466351254,22.34310383625369,24.50616664448494,35.08164072948743,33.90635858279226,36.202061751089786
2.0600000000000005,0.10274598969866737,0.0997827931551276,0.10542079997073814,86.8,83.35,90.25125,344.9,339.99999999999994,349.94999999999993,1.0,1.0,1.0,16.7,15.75,17.601249999999997,3.409221615120199,3.3652952071711444,3.4520150975864214,3.4939359269756474,3.4348605529593246,3.54793289818772,383.9,380.69999999999993,386.99999999999994,454.8,452.65000000000003,457.20000000000005,438.0,433.9,442.6025,112.7,110.99875,114.35000000000001,106.95,104.14875,109.75,21.68565244011024,20.93155212636773,22.403702974934735,34.62083903461398,33.61967958982672,35.53921593246889
2.3050000000000006,0.09468901981102033,0.09143529116613594,0.09734105084547304,66.2,63.0,69.75125,373.8,368.64875,379.15125000000006,1.0,1.0,1.0,17.3,16.25,18.3,3.567400794453288,3.518021096211778,3.6174173843861617,3.636483433523645,3.582662052366342,3.687967941598707,398.8,394.79875,403.15125000000006,454.45,451.45,457.20125,442.65,438.94874999999996,446.09999999999997,111.9,110.24875000000002,113.60125000000001,107.8,106.0,109.69999999999999,20.171728099059383,19.29191221185585,21.04856956939944,35.24881485727134,34.189556568132204,36.16212676549299
